old_hash	new_hash	classification	affected_ids	reviewed_by	rationale
sha256:8df1d85c138dd83051273662268b7fe199105cc1568567113961ccf8659bb906	sha256:db356acff906a46c0d8787aec27e920054b2d079854c6bb6d51687ede1326181	editorial	UX-025	Felipe Micaroni Lalli	Renamed illustrative vocabulary to synthetic placeholders; no normative statement changed.
sha256:d16a1457fc00c9d2bb328d9ce3c2f28621068fc39229381ea72b4082d8b3819e	sha256:0f9141b4820eba839350063b8926f10ef0dc48e516cb0081607d1f312a3efcf6	editorial	UX-M01	Felipe Micaroni Lalli	Renamed illustrative vocabulary to synthetic placeholders; no normative statement changed.
sha256:61b411816ef9fd6ec883ee8c8918907770797fb785d7cca49f7923c318159be4	sha256:d9b7b2bb53fd533e892de092bd636ed9f1b9b58a7092d2ec9abb2bfe66aa2c61	editorial	UX-R00	Felipe Micaroni Lalli	Renamed illustrative vocabulary to synthetic placeholders; no normative statement changed.
